"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.common.name","Missing.info","Typical.host","Host.no","Def.int","Facultative","Stage","Asexual","Site","Host.habitat","Vert.group","Remark","Author","Year","Journal","Volume","Pages"
"Ascaridia columbae","Ascaridia","nematode","Alisterus scapularis","australian king parrot",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Mines and Green","1983","Aust. Vet. J.","60","279-280"
"Ascaridia columbae","Ascaridia","nematode","Columba livia","pigeon",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia columbae","Ascaridia","nematode","Melopsittacus undulatus","budgerigar",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Mines and Green","1983","Aust. Vet. J.","60","279-280"
"Ascaridia columbae","Ascaridia","nematode","Neophema bourkii","bourke's parrot",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Mines and Green","1983","Aust. Vet. J.","60","279-280"
"Ascaridia columbae","Ascaridia","nematode","Polytelis alexandrae","princess parrot",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Mines and Green","1983","Aust. Vet. J.","60","279-280"
"Ascaridia columbae","Ascaridia","nematode","Streptopelia decaocto","collared dove",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia columbae","Ascaridia","nematode","Streptopelia risoria","barbary dove",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Pinto et al.","1991","Rev. Bras. Zool.","8","1-6"
"Ascaridia columbae","Ascaridia","nematode","Streptopelia turtur","turtle dove",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia compar","Ascaridia","nematode","Alectoris graeca","rock partridge",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Vasilev","1987","Helminthologia","23","30-35"
"Ascaridia compar","Ascaridia","nematode","Perdix perdix","grey partridg",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia compar","Ascaridia","nematode","Phasianus colchicus","pheasant",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia dissimilis","Ascaridia","nematode","Meleagris gallopavo","turkey",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Wehr","1942","Proc. Helminthol. Soc. Wash.","9","73-74"
"Ascaridia galli","Ascaridia","nematode","Gallus gallus","chicken",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird","some studies suggest that earthworms or insects can be paratenic hosts for A.galli whereas others suggest they just pass slowly through the gut",NA,NA,NA,NA,NA
"Ascaridia galli","Ascaridia","nematode","Numida meleagris","guineafowl",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia galli","Ascaridia","nematode","Phasianus colchicus","pheasant",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Barus","1966","Folia Parasitol.","13","171-181"
"Ascaridia numidae","Ascaridia","nematode","Alectoris chukar","chukar partridge",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird",NA,"Avcioglu et al.","2008","Parasitol. Res.","102","527-530"
"Ascaridia numidae","Ascaridia","nematode","Numida meleagris","guineafowl",0,"typical",1,"def","no","adult","none","gut","terrestrial","bird","just CAB abstract","Macchioni","1971","Vet. Ital.","22","472-493"
"Ascaris lumbricoides","Ascaris","nematode","Homo sapiens","man",0,"typical",1,"def","no","adult","none","gut","terrestrial","mammal","undergoes tracheal migration before arriving back in gut",NA,NA,NA,NA,NA
"Ascaris lumbricoides","Ascaris","nematode","Sus scrofa","pigs",0,"atypical",1,"def","no","adult","none","gut","terrestrial","mammal","undergoes tracheal migration before arriving back in gut",NA,NA,NA,NA,NA
"Ascaris suum","Ascaris","nematode","Homo sapiens","man",0,"atypical",1,"def","no","adult","none","gut","terrestrial","mammal","not easily transmittable to humans","Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascaris suum","Ascaris","nematode","Sus scrofa","pigs",0,"typical",1,"def","no","adult","none","gut","terrestrial","mammal","undergoes tracheal migration before arriving back in gut","Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarophis arctica","Ascarophis","nematode","Gammarus duebeni","amphipod",0,"typical",1,"int","no","1larv","none","muscles; body cavity","marine",NA,"migrates from muscles to body cavity after molting from L3 to L4; called the species Ascarophis sp., but remarked on its similarity to A. arctica; also suggested that some populations are completely monoxenous (just infect amphipods) and that Ascarophis sp with one host could be a different species than two-host A. arctica","Appy and Butterworth","2011","J. Parasitol.","97","1035-1048"
"Ascarophis arctica","Ascarophis","nematode","Gammarus oceanicus","amphipod",0,"typical",1,"int","no","1larv","none","muscles; body cavity","marine",NA,"Appy and Butterworth cite conference abstract (Pullinen et al. 2005) that suggests Ascarophis sp is A. arctica on basis of sequence data","Fagerholm and Butterworth","1988","Syst. Parasitol.","12","123-139"
"Ascarophis arctica","Ascarophis","nematode","Gadus morhua","cod",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Hemitripterus americanus","sea raven",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Macrozoarces americanus","ocean pout",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Melanogrammus aeglefinus","haddock",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Merluccius bilinearis","silver hake",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Microgadus tomcod","tomcod",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Myoxocephalus quadricornis","four-horn sculpin",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish","mostly found in the stomach, not intestine","Fagerholm and Berland","1988","Syst. Parasitol.","11","151-158"
"Ascarophis arctica","Ascarophis","nematode","Osmerus mordax","smelt",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Pholis gunnelus","rock gunnel",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Pseudopleuronectes americanus","winter flounder",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Urophycis tenuis","white hake",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis arctica","Ascarophis","nematode","Zoarces viviparus","eelpout",0,"typical",2,"def","progenetic","adult","none","gut","marine","fish",NA,"Fagerholm and Berland","1988","Syst. Parasitol.","11","151-158"
"Ascarophis filiformis","Ascarophis","nematode","Eualus gaimardii","shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis filiformis","Ascarophis","nematode","Hetairus polaris","shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis filiformis","Ascarophis","nematode","Spirontocaris spinus","shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis filiformis","Ascarophis","nematode","Brosme brosme","cusk",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Poljansky 1955","Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis filiformis","Ascarophis","nematode","Gadus macrocephalus","pacific cod",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Zhukov 1960","Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis filiformis","Ascarophis","nematode","Gadus morhua","cod",0,"typical",2,"def","no","adult","none","gut","marine","fish",NA,"Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis filiformis","Ascarophis","nematode","Melanogrammus aeglefinus","haddock",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Poljansky 1952","Appy","1981","Can. J. Zool.","59","2193-2205"
"Ascarophis marina","Ascarophis","nematode","Artemesia longinaris","decapod shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"note precocious development without eggs","Martorelli et al.","2000","J. Parasitol.","86","1047-1050"
"Ascarophis marina","Ascarophis","nematode","Peisos petrunkevitchi","decapod shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Martorelli et al.","2000","J. Parasitol.","86","1047-1050"
"Ascarophis marina","Ascarophis","nematode","Parona signata","parona leatherjacket",0,"typical",2,"def","no","adult","none","gut","marine","fish",NA,"Martorelli et al.","2000","J. Parasitol.","86","1047-1050"
"Ascarophis marina","Ascarophis","nematode","Urophycis brasiliensis","brazilian codling",0,"typical",2,"def","no","adult","none","gut","marine","fish",NA,"Martorelli et al.","2000","J. Parasitol.","86","1047-1050"
"Ascarophis morrhuae","Ascarophis","nematode","Calocaris macandreae","decapod shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"was not 100% certain that the recovered larvae were A.morrhuae","Calderon-Perez","1986","J. Mar. Biol. Assoc. UK","66","293-301"
"Ascarophis morrhuae","Ascarophis","nematode","Carcinus maenas","crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"cites Petter 1970","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Ascarophis morrhuae","Ascarophis","nematode","Hetairus polaris","shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis morrhuae","Ascarophis","nematode","Pagurus pubescens","hermit crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis morrhuae","Ascarophis","nematode","Pandalus borealis","shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis morrhuae","Ascarophis","nematode","Spirontocaris spinus","shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Uspenskaya","1953","Zool. Zhurnal","32","828-832"
"Ascarophis morrhuae","Ascarophis","nematode","Gadus morhua","cod",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Petter 1970","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Ascarophis morrhuae","Ascarophis","nematode","Hippoglossus hippoglossus","halibut",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Nicoll 1907","Baylis","1933","Ann. Mag. Nat. Hist.","11","111-117"
"Ascarophis morrhuae","Ascarophis","nematode","Melanogrammus aeglefinus","haddock",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Nicoll 1907","Baylis","1933","Ann. Mag. Nat. Hist.","11","111-117"
"Ascarophis morrhuae","Ascarophis","nematode","Taurulus bubalis","longspined bullhead",0,"typical",2,"def","no","adult","none","gut","marine","fish","cites Nicoll 1907","Baylis","1933","Ann. Mag. Nat. Hist.","11","111-117"
"Ascarophis morrhuae","Ascarophis","nematode","Trigla lastoviza","gurnard",0,"typical",2,"def","no","adult","none","gut","marine","fish",NA,"Baylis","1933","Ann. Mag. Nat. Hist.","11","111-117"
"Ascarophis pacificus","Ascarophis","nematode","Anisogammarus kygi","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Anisogammarus ochotensis","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Anisogammarus tiuschovi","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Idothea ochotensis","isopod",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Pagurus middendorfjii","hermit crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Alcichthys elongatus","elkhorn sculpin",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Bathyraja smirnovi","ray",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Eleginus nawaga","navaga",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Gadus morhua","cod",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Gymnocanthus herzensteini","staghorn sculpin",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Liparis sp.","snailfish",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Myoxocephalus brandti","snowy sculpin",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Pleurogrammus azonus","mackerel",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Stichaeus grigorjewi","prickleback",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis pacificus","Ascarophis","nematode","Theragra chalcogramma","pollock",0,"typical",2,"def","no","adult","none","gut","marine","fish","just CAB abstract","Tsimbalyuk et al.","1970","Zool. Zhurnal","49","187-1875"
"Ascarophis sp. A","Ascarophis","nematode","Neotrypaea californiensis","ghost shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"in capsules on the pyloric stomach","Poinar and Thomas","1976","Proc. Helminthol. Soc. Wash.","43","28-33"
"Ascarophis sp. A","Ascarophis","nematode",NA,"marine fish",1,"typical",2,"def","no","adult","none","gut","marine","fish",NA,NA,NA,NA,NA,NA
"Ascarophis sp. B","Ascarophis","nematode","Neotrypaea californiensis","ghost shrimp",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"in capsules on the pyloric stomach","Poinar and Thomas","1976","Proc. Helminthol. Soc. Wash.","43","28-33"
"Ascarophis sp. B","Ascarophis","nematode",NA,"marine fish",1,"typical",2,"def","no","adult","none","gut","marine","fish",NA,NA,NA,NA,NA,NA
"Ascarophis sp. C","Ascarophis","nematode","Pagurus granosimanus","hermit crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"in capsules on the dorsal abdominal wall","Poinar and Thomas","1976","Proc. Helminthol. Soc. Wash.","43","28-33"
"Ascarophis sp. C","Ascarophis","nematode","Pagurus samuelis","hermit crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"considered close to A. pacificus; in capsules on the dorsal abdominal wall","Poinar and Thomas","1976","Proc. Helminthol. Soc. Wash.","43","28-33"
"Ascarophis sp. C","Ascarophis","nematode",NA,"marine fish",1,"typical",2,"def","no","adult","none","gut","marine","fish",NA,NA,NA,NA,NA,NA
"Ascarophis sp. D","Ascarophis","nematode","Hemigrapsus oregonensis","crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,"encapsulated on various organs","Poinar and Kuris","1975","J. Invertebr. Pathol.","26","375-382"
"Ascarophis sp. D","Ascarophis","nematode","Pachycheles pubescens","crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Poinar and Thomas","1976","Proc. Helminthol. Soc. Wash.","43","28-33"
"Ascarophis sp. D","Ascarophis","nematode","Pugettia producta","kelp crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Poinar and Thomas","1976","Proc. Helminthol. Soc. Wash.","43","28-33"
"Ascarophis sp. D","Ascarophis","nematode",NA,"marine fish",1,"typical",2,"def","no","adult","none","gut","marine","fish",NA,NA,NA,NA,NA,NA
"Ascarophis sp. E","Ascarophis","nematode","Chasmagnathus granulatus","crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Cremonte et al.","2007","Comp. Parasitol.","74","88-95"
"Ascarophis sp. E","Ascarophis","nematode","Uca uruguayensis","crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Cremonte et al.","2007","Comp. Parasitol.","74","88-95"
"Ascarophis sp. E","Ascarophis","nematode",NA,"marine fish",1,"typical",2,"def","no","adult","none","gut","marine","fish",NA,NA,NA,NA,NA,NA
"Ascarophis sp. F","Ascarophis","nematode","Macrophthalmus hirtipes","crab",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Moravec et al.","2003","Folia Parasitol.","50","109-114"
"Ascarophis sp. F","Ascarophis","nematode",NA,"marine fish",1,"typical",2,"def","no","adult","none","gut","marine","fish",NA,NA,NA,NA,NA,NA
"Ascarops strongylina","Ascarops","nematode","Aphodius castaneus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarops strongylina","Ascarops","nematode","Aphodius erraticus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Aphodius fimetarius","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Aphodius granarius","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarops strongylina","Ascarops","nematode","Aphodius immundus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Aphodius lugens","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Aphodius luridus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Aphodius melanostictus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Aphodius prodromus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Aphodius rufus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarops strongylina","Ascarops","nematode","Aphodius sticticus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Zajicek and Pav","1972","Folia Parasitol.","19","121-127"
"Ascarops strongylina","Ascarops","nematode","Aphodius subterraneus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Caccobius schreberi","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Ceratophius fossor","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Copris lunaris","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Geotrupes mutator","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Geotrupes spiniger","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Geotrupes stercorarius","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Geotrupes vernalis","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Zajicek and Pav","1972","Folia Parasitol.","19","121-127"
"Ascarops strongylina","Ascarops","nematode","Gymnopleurus mopsus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Gymnopleurus sp.","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarops strongylina","Ascarops","nematode","Gymnopleurus sturmi","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Onthophagus austriacus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Onthophagus nuchicornis","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Onthophagus vacca","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Onthophagus vitulus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,"just CAB abstract","Shmitova","1964","Trudy Gel'mintologicheskoi Laboratorii. Akademiya Nauk SSSR","14","288-301"
"Ascarops strongylina","Ascarops","nematode","Onthophagus gazella","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Fincher and Marti","1982","Southwest. Entomol.","7","125-129"
"Ascarops strongylina","Ascarops","nematode","Onthophagus hecate","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Fincher and Marti","1982","Southwest. Entomol.","7","125-129"
"Ascarops strongylina","Ascarops","nematode","Onthophagus pennsylvanicus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Fincher and Marti","1982","Southwest. Entomol.","7","125-129"
"Ascarops strongylina","Ascarops","nematode","Onthophagus taurus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Fincher and Marti","1982","Southwest. Entomol.","7","125-129"
"Ascarops strongylina","Ascarops","nematode","Passalus cornutus","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarops strongylina","Ascarops","nematode","Scarabaeus sp.","beetle",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Alicata","1935","US Dept. Agric. Tech. Bull.","489","1-96"
"Ascarops strongylina","Ascarops","nematode","Apodemus sylvaticus","wood mouse",0,"typical",2,"int","paratenic","2larv","none","gut wall","terrestrial","mammal","just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Crocidura suaveolens","lesser-toothe white shrew",0,"typical",2,"int","paratenic","2larv","none","gut wall","terrestrial","mammal","just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
"Ascarops strongylina","Ascarops","nematode","Funambulus palmarum","palm squirrel",0,"typical",2,"int","paratenic","2larv","none","gut wall","terrestrial","mammal","dead end?","Gupta","1969","Curr. Sci.","38","548-549"
"Ascarops strongylina","Ascarops","nematode","Hemidactylus turcicus","mediterranean gecko",0,"typical",2,"int","paratenic","2larv","none","gut wall","terrestrial","herp",NA,"McAllister et al.","1993","J. Helminthol. Soc. Wash.","60","280-282"
"Ascarops strongylina","Ascarops","nematode","Mus musculus","mice",0,"typical",2,"int","paratenic","2larv","none","gut wall","terrestrial","mammal","cites Varma et al. 1976","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Ascarops strongylina","Ascarops","nematode","Pseudopus apodus","glass lizard",0,"typical",2,"int","paratenic","2larv","none","gut wall","terrestrial","herp","just CAB abstract","Dimitrova","1966","Izv. Tsentralnata Khelmintologichna Labor.","11","43-56"
